,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
403,16C-R167,1,CHI:        I don't know.,I,,
404,16C-R171,3,CHI:        it's a boy sea surfing.,P+L,,
405,16C-R173,4,CHI:        I think that's all about th and I think that's all about the boy.,I+L,,
406,16C-R174,Farmer,,,,
407,27C-R38,Farmer,,,,
408,27C-R40,1,"CHI:        um, a farmer.",L,,
409,27C-R42,2,"CHI:        well, farmers they plant everything except their animals.",F+L,,
410,27C-R44,3,CHI:        they plant did you know sometimes the um if they live in the forest the wolves may the wolves might eat their sheep.,F,,
411,27C-R46,4,CHI:        so someone always have to watch out.,F,,
412,27C-R48,5,CHI:        watch watch the sheep.,F,,
413,27C-R50,6,CHI:        but the dog sometimes watches the sheep.,F,,
414,27C-R51,7,CHI:        because they can do alarms.,F,,
415,27C-R54,8,CHI:        so that's all I know about farmers.,I+L,,
416,27C-R78,Weightlifter,,,,
417,27C-R80,1,CHI:        a weight guy.,L,,
418,27C-R82,2,"CHI:        mm well, they they're really strong.",P,strong,['strong']
419,27C-R83,3,CHI:        I mean they're not too strong but when they lift this weight thing they become stronger.,I+F,"strong, stronger","['strong', 'stronger']"
420,27C-R90,6,CHI:        that's all I know.,I,,
421,27C-R116,Surfer,,,,
422,27C-R118,1,"CHI:        surfboard, guy.",L,,
423,27C-R120,2,CHI:        I don't know about these.,I,,
424,27C-R143,King,,,,
425,27C-R144,1,CHI:        um that's a king I think.,L+I,,
426,27C-R146,2,CHI:        but they're not alive right?,F,alive,"['alive', 'right']"
427,27C-R156,3,CHI:        a king.,,,
428,27C-R158,4,CHI:        I don't think they're alive but knights are.,I+T+F,,['alive']
429,27C-R160,5,"CHI:        but, and knights there's a castle, ⌈the knights rule⌉.",T+F,,
430,27C-R166,7,"CHI:        yeah, and if there if kings were alive they would have dark blond skin.",I+P+L+F,"alive, dark blond","['alive', 'dark', 'blond']"
431,27C-R167,8,CHI:        and they would have a crown like that.,P,,
432,27C-R168,9,CHI:        and they would have a blue cape and but that part would be like it.,P,blue,['blue']
433,27C-R169,10,CHI:        and they would have a necklace like that.,P,,
434,27C-R170,11,CHI:        and they would have a green stick like that.,P,green,['green']
435,27C-R171,12,CHI:        and they would have um a suit like that except they wouldn't have that.,P,,
436,27C-R172,13,"CHI:        but, and they would have that stripe but they wouldn't have that button.",P,,
437,27C-R173,14,CHI:        and they would have that belt but they wouldn't have the pants.,P,,
438,27C-R175,15,CHI:        they would have green striped with yellow and black stripes.,P,green yellow black,"['green', 'yellow', 'black']"
439,27C-R177,16,CHI:        of their pants.,P,,
